idx,wall_time,tf_stamp,gps_rel_x,gps_rel_y,estimate_x,estimate_y,truth_yaw_deg,estimate_yaw_deg,direct_error_m,aligned_error_m,heading_error_deg,yaw_error_deg,event
70,1782015321.9790754,59.48,2.356670177158655,-2.3330987933875846,2.3820216157669605,-2.366788007964085,39.111720391847214,38.16017122039074,0.04216228905422669,0.352166952025038,,0.9515491714564802,
71,1782015322.5001607,59.96,2.4366965229815563,-2.274321201539413,2.430020062181754,-2.2826580058759216,32.06468089094606,31.919565925557745,0.010680703879263953,0.3679575079052053,,0.1451149653883138,
72,1782015323.010231,60.48,2.5262064906502033,-2.222921763077114,2.5236428699815097,-2.2308327311544582,27.28951717805913,27.1811869260822,0.008315982615044055,0.36428665079536504,0.4436280813964821,0.10833025197692799,
73,1782015323.5281029,60.96,2.6201503850774372,-2.177500551639101,2.6148861983806606,-2.2099109654880333,23.723036444507173,22.944219162820275,0.03283514256764536,0.37546182724468236,0.541894930096211,0.7788172816868975,
74,1782015324.5561793,61.96,2.816843662602892,-2.103225687392513,2.8124375171576466,-2.139786414299936,16.983326806381616,16.537396853670078,0.036825274875876265,0.37289937091489805,1.1826926728166574,0.4459299527115367,
75,1782015325.0700061,62.48,2.919100843033114,-2.0732614554560636,2.909268430220148,-2.0905427915245594,14.803610742813557,14.101595084875282,0.01988267884458403,0.3722866987130928,0.15008752555807184,0.7020156579382762,
76,1782015325.575957,62.96,3.0229472309698764,-2.0467464132225937,3.009368416941812,-2.066746266530665,13.033497468981794,12.433151775200669,0.024173918233358946,0.37615403045308204,0.846468547323158,0.6003456937811248,
77,1782015326.0885446,63.48,3.1276628370277564,-2.0239131178053826,3.1183700824085197,-2.044853443193404,11.105039704231261,10.497757535978497,0.022909659878958443,0.37199388458933463,0.7245258807567303,0.6072821682527632,
78,1782015326.6006372,63.98,3.23527021398575,-2.0037411334437127,3.2259168544515044,-2.025835855056115,10.581889399756063,9.963855676882481,0.023992958502577766,0.37255121288586024,1.0979537655632072,0.6180337228735818,
79,1782015327.1225352,64.48,3.3429913270937277,-1.9839880404655332,3.343755938540018,-1.9979067882044848,10.23495855760264,9.33022360919668,0.013939733472501048,0.3640181011736218,0.7934536095201429,0.9047349484059589,
80,1782015327.6316285,64.96,3.4511089095210465,-1.964580418052945,3.4477391244194786,-1.9807964473928759,10.132695657750782,9.263485876809959,0.016562459333814235,0.37087683474187544,0.7897779397499338,0.869209780940824,
81,1782015328.14596,65.48,3.5586388027875486,-1.9458660451408338,3.559716852013884,-1.9631502211465919,9.513075475739043,8.596108552939882,0.0173177634333197,0.3700841506253206,0.4640083801869508,0.9169669227991626,
82,1782015328.6625214,65.96,3.6662540320787045,-1.9280428320901155,3.663108322963462,-1.9476173157499346,8.884998867503636,8.095450096707573,0.01982563735132475,0.3784562156509499,0.7853364350429916,0.7895487707960618,
83,1782015329.1867166,66.48,3.7739193852458826,-1.911496767131636,3.7751930142415326,-1.9321131325865621,8.207919184167983,7.428072772837653,0.0206556688439186,0.379184217040203,0.620914230530435,0.7798464113303304,
84,1782015330.1652305,67.48,3.9904494466280482,-1.883049270362001,3.991729190678476,-1.9068023072443636,7.052746555616664,6.226793589872178,0.023787486331461858,0.3908604342313576,0.6080690555861248,0.8259529657444865,
85,1782015330.6660793,67.96,4.097238468759286,-1.8703979266658042,4.094542720512842,-1.8967294465253333,5.530241927959121,4.725320074495064,0.026469151794513233,0.4009087931406182,0.5985479573911263,0.8049218534640568,
86,1782015331.1745996,68.48,4.203908551780181,-1.8612220696707542,4.205385444083406,-1.8895462602778692,3.65385735672863,2.7231881028858074,0.02836266885226966,0.4036015837489621,0.6549152499186006,0.9306692538428227,
87,1782015331.7282927,68.98,4.306243034078079,-1.8561851779282286,4.307716022480655,-1.888123194286624,-1.1309364079862445,-2.0819286289763457,0.031971965590861774,0.409184858334471,1.2420120131605825,0.9509922209901012,
88,1782015332.7287064,69.96,4.514241267142168,-1.8721855463475086,4.520991061323302,-1.9090291168401725,-8.234407160727354,-9.056147126746069,0.03745675383873478,0.4142185253239715,1.294684163739266,0.8217399660187156,
89,1782015333.2360194,70.48,4.617242929655205,-1.890254479702902,4.627261901377188,-1.9302398726417747,-12.283262301218134,-12.793460140416967,0.04122149248683188,0.4151862208022452,1.3656961878212446,0.5101978391988338,
90,1782015333.7590683,70.96,4.7218144685770085,-1.9138609186193651,4.727145446038091,-1.954494326305138,-14.03689338378001,-14.528641182478445,0.04098161954887573,0.4241098352977411,1.235523697324309,0.4917477986984353,
91,1782015334.2595875,71.48,4.824433316412829,-1.940811454226675,4.822965560123397,-1.9650262054009584,-16.60117106802249,-17.56483161609483,0.024259193782103027,0.4450166143978823,0.27807797501736936,0.9636605480723375,
92,1782015334.7827013,71.96,4.928013961809107,-1.972528421164868,4.921681748887657,-1.9971933484096938,-17.735225067080155,-18.632635334286753,0.02546479052486251,0.4544328979913011,0.15908147147384247,0.8974102672065999,
93,1782015335.2850258,72.48,5.032758643003916,-2.006309735450734,5.029876095483795,-2.0337058683801152,-17.787115696842456,-18.632635334286704,0.02754736248155321,0.45656113383380936,0.1057287233021793,0.8455196374442493,
94,1782015335.7897305,72.96,5.13750135615031,-2.0400894477096294,5.129797997525318,-2.0675100634869525,-17.787115464147984,-18.732616469537028,0.028482133061145713,0.4672847170069892,0.07286500981884493,0.9455010053890439,
95,1782015336.8097062,73.96,5.346986770977345,-2.107648851854117,5.3380105218875356,-2.138188726224594,-17.787116807772414,-18.73261646953642,0.0318316976343837,0.48244879281756303,0.06055771228093965,0.945499661764005,
