idx,wall_time,tf_stamp,gps_rel_x,gps_rel_y,estimate_x,estimate_y,direct_error_m,aligned_error_m,heading_error_deg,event
45,1782014994.8274083,47.48,2.0461973902636004,-2.3163660870030354,2.061179364528341,-2.2995740425553035,0.02250405095985945,0.00974764324036188,0.020726421807986773,
46,1782014995.3448548,47.96,2.0545852501361352,-2.425306483906959,2.068062848811451,-2.4041071501870563,0.025120856199992,0.015470797663298955,0.027519779375909725,
47,1782014995.8546607,48.48,2.0619047710917826,-2.533560524870424,2.07416858035411,-2.516782550889099,0.020782238294773967,0.015564318784594333,0.5764177859207662,
48,1782014996.3665195,48.96,2.066178303458713,-2.639354064376365,2.076424758175656,-2.6182933221142517,0.02342103112370435,0.02137029277631414,0.5923862255123933,
49,1782014996.874838,49.48,2.06548425388538,-2.7466264193513132,2.0741526504854337,-2.7294474342186614,0.019242105648906944,0.023354284853447364,0.5668130620229542,
50,1782014997.4121413,49.96,2.061478762306024,-2.8515962225288867,2.0681305222125492,-2.8299673209291956,0.022628638807121827,0.02899904158244144,0.6118131576440458,
51,1782014998.4198248,50.96,2.0388488483074028,-3.0593409711537354,2.040828934284763,-3.037716368629065,0.02171506792132399,0.03777787497818985,0.784196060789422,
52,1782014998.9366846,51.48,2.018585324914696,-3.150246410458153,2.0247990574594095,-3.131251839749613,0.01998509916259981,0.034981328530357673,1.0266474806601493,
53,1782014999.4518905,51.96,1.9865294064953432,-3.2217512916785456,1.9865278508615443,-3.201281865744716,0.020469425992941853,0.04306592172554311,1.3757649793091344,
54,1782015000.4785662,52.96,1.9855992378254683,-3.221639172705703,1.9856012129257539,-3.202529668669682,0.019109504138091368,0.042705269053154374,,
55,1782015001.485026,53.96,1.9744188488198944,-3.216518503488189,1.9856156487030636,-3.20253702486846,0.017912288296520838,0.030597011561927036,,
56,1782015001.998124,54.48,1.9679965794042715,-3.2172006337387957,1.9854567098191107,-3.2038746545176338,0.021964468495869246,0.02437580919631004,,
57,1782015002.5041902,54.96,1.9620649750066477,-3.2228706400115805,1.9859794532731172,-3.208504729970803,0.027897699583606488,0.01862395614463867,,
58,1782015003.0138674,55.48,1.9541338703551148,-3.225917899840475,1.9861063078081662,-3.2092225572231023,0.03606897866312193,0.01304968605552343,,
59,1782015003.5422382,55.96,1.952908563365149,-3.236549667439767,1.9902136555985235,-3.214424389074833,0.04337277774441471,0.01507698473635926,,
60,1782015004.5416043,56.96,2.0559892576385366,-3.3137503677135554,2.0966204185198527,-3.2785893143854654,0.05373258699992193,0.02533072324373235,,
61,1782015005.0528376,57.48,2.1463852340579237,-3.3468631519372565,2.1692246828146966,-3.3127175596160305,0.04107994516160676,0.030690482156363184,,
62,1782015005.5591528,57.98,2.237159321986624,-3.369711147216288,2.2601193658922165,-3.334920367932219,0.04168407296965545,0.029985667720859383,,
63,1782015006.0598748,58.48,2.3397790256266617,-3.3770979488479322,2.3421260213971835,-3.393498296290496,0.016567431466091805,0.053432782658381535,,
64,1782015006.5843058,58.96,2.435554070977041,-3.375830301014235,2.433081583317694,-3.3940884504062394,0.01842479889839706,0.05962648075396021,,
65,1782015007.086526,59.48,2.5394334857540954,-3.369923971938505,2.5412419351517657,-3.377091409870004,0.007392067080717292,0.05089408794715082,,
66,1782015007.6081567,59.96,2.642651713619287,-3.355622673291524,2.6399559182706906,-3.363352051872526,0.008186000599191664,0.05592514280276046,,
67,1782015008.1232955,60.48,2.7304089051670815,-3.339767786724864,2.7326957507581286,-3.3439456047296234,0.004762754039228087,0.05057715796032959,,
68,1782015008.6245363,60.98,2.831491756893577,-3.3026287188478105,2.842135338274467,-3.3084570790455934,0.012134892138240419,0.046024428801127774,,
69,1782015009.1359158,61.48,2.9316961080908968,-3.2638878092169326,2.942390923795801,-3.2700986340314575,0.012367434165524438,0.04727278606710902,,
70,1782015009.656728,61.96,3.0294464970397,-3.2228452473379625,3.036046934360317,-3.230893915837639,0.01040897869346827,0.052349016793751264,,
71,1782015010.647764,62.96,3.1920610402136376,-3.149538689918299,3.1991521236948777,-3.1696139027605286,0.02129078757582093,0.06376475353468232,0.6333489391927715,
72,1782015011.1604877,63.48,3.2891647398076174,-3.1034413837196766,3.301776537234385,-3.1234490412512668,0.023650873012115527,0.06256130675299189,0.7043345243143578,
73,1782015011.6649406,63.96,3.3827427114852924,-3.063121198472639,3.3912327159960514,-3.087350439067272,0.025673649455917394,0.06959499609205984,1.4620778408328032,
74,1782015012.1827161,64.48,3.451859043541532,-3.0320687924983676,3.4658898343554796,-3.058724836093704,0.030123209507308877,0.07094565574195073,1.8259821423740403,
75,1782015012.7016978,64.98,3.5579536603239674,-3.0023896237402425,3.572080038859341,-3.020253529981427,0.022774409250702586,0.06458277289314956,1.3583020896493725,
76,1782015013.7040312,65.96,3.769916879201581,-2.9430584464508454,3.78002443494237,-2.964371152302029,0.023588007837717837,0.0730915257023705,1.069329676007456,
77,1782015014.2207615,66.48,3.8758982895855567,-2.9133929163008774,3.8904002200592336,-2.934705649056845,0.025778645522809108,0.0737687254034515,1.1195960903544173,
78,1782015014.7273493,66.96,3.9817754970333894,-2.8838252133567286,3.992143762419078,-2.9072554384717275,0.025621794941955114,0.07899150153443417,1.1158138498075993,
79,1782015015.2352479,67.48,4.087799500520767,-2.8543121581842748,4.102507651904315,-2.8775457119974694,0.027497776999459086,0.0797394433331353,0.5322844881444299,
80,1782015015.75951,67.96,4.1938234886401276,-2.8247991611778644,4.204368550262661,-2.85013266909905,0.027440571207899223,0.08486778229285723,0.4634513871879909,
81,1782015016.2625153,68.48,4.299847479231815,-2.795286173463271,4.314761571353081,-2.81053157894413,0.021327272026150715,0.07612725468685079,0.22384923344222693,
82,1782015016.785056,68.98,4.405871467304905,-2.7657731767016536,4.420973692105074,-2.7821420099809306,0.022271414343045012,0.07931601386731406,0.38274511984108606,
83,1782015017.300835,69.48,4.511895457695815,-2.7362601882658093,4.527089020276841,-2.7537915881076804,0.023199015589440843,0.08258999697275826,0.1592396610859176,
84,1782015017.8088439,69.96,4.617919446051978,-2.7067471925190945,4.6289989399991445,-2.726561347882519,0.022701452352024136,0.08777357456891396,0.0719827704232456,
85,1782015018.3212848,70.48,4.72394343608844,-2.6772342028075258,4.739364147561387,-2.6868565162757623,0.018176557947336577,0.0790933855205839,0.5707748830637691,
86,1782015018.8295662,70.98,4.829967424859333,-2.647721208548344,4.845531909058036,-2.6582982898749594,0.01881828413435995,0.08219334267606518,0.5718038137103297,
87,1782015019.8447137,71.96,5.042015403695672,-2.588695224678276,5.053564402805042,-2.602747921885042,0.018189493649172734,0.09062837279666934,0.43374763667405314,
88,1782015020.3541553,72.48,5.1479954089399556,-2.5592130199549734,5.164084056258664,-2.5732189626213198,0.02133098690916047,0.09215944590926557,0.42175976778459606,
89,1782015020.8689072,72.96,5.2521581142131595,-2.5291811940200883,5.27395349492844,-2.5452140918233326,0.027057206664644843,0.0959899373161064,0.2610046580858763,
90,1782015021.369349,73.48,5.353685670284641,-2.4980524466079705,5.379812666943751,-2.5129892789346937,0.030095330441478964,0.09705760086940568,0.19697209106270228,
91,1782015021.8920443,73.96,5.44551022039937,-2.4645122129145136,5.467466542905524,-2.478709294138561,0.026146456992801624,0.09833212176740348,0.020232276256739852,
92,1782015022.3998127,74.48,5.49531161700564,-2.440147084021701,5.522031915174104,-2.44815536855817,0.027894568565020518,0.09327097157021469,0.31943506538083466,
93,1782015022.914401,74.98,5.495287151179625,-2.4401543532867462,5.522031915174104,-2.44815536855817,0.027915921021774363,0.09326405114814726,0.21562042938210618,
