wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count
31.504,1782021537.6,6,"heading to waypoint #6 (1.2, -11.2)",ok,,0.919,-11.174,-80.9,-5.702,-11.376,0,ok,0,ok,0,ok,6,6,6,0,0,ok,6,6,6,0,0,ok,6.168,532
32.004,1782021538.1,7,"heading to waypoint #7 (3.6, -12.6)",ok,,0.898,-11.027,-48.5,-5.717,-11.422,0,ok,0,ok,0,ok,55,24,24,0,0,ok,55,55,55,0,0,ok,6.148,526
32.505,1782021538.6,7,"heading to waypoint #7 (3.6, -12.6)",ok,,1.189,-11.352,-47.8,-5.74,-11.764,0,ok,0,ok,0,ok,55,25,25,0,0,ok,55,55,55,0,0,ok,5.898,530
33.004,1782021539.1,7,"heading to waypoint #7 (3.6, -12.6)",ok,,1.147,-11.304,-60.3,-5.769,-12.193,0,ok,0,ok,0,ok,55,32,32,0,0,ok,55,55,55,0,0,ok,5.274,527
33.504,1782021539.6,7,"heading to waypoint #7 (3.6, -12.6)",ok,,1.229,-11.553,-60.1,-5.789,-12.629,0,ok,0,ok,0,ok,49,21,21,0,0,ok,49,49,49,0,0,ok,5.211,531
34.004,1782021540.1,7,"heading to waypoint #7 (3.6, -12.6)",ok,,1.491,-11.745,-56.1,-5.769,-13.013,0,ok,0,ok,0,ok,49,40,40,0,0,ok,49,49,49,0,0,ok,4.901,527
34.504,1782021540.6,7,"heading to waypoint #7 (3.6, -12.6)",ok,,1.731,-12.076,-51.0,-5.721,-13.433,0,ok,0,ok,0,ok,40,33,33,0,0,ok,40,40,40,0,0,ok,4.583,533
35.004,1782021541.1,7,"heading to waypoint #7 (3.6, -12.6)",ok,,1.805,-12.054,-33.8,-5.58,-13.783,0,ok,0,ok,0,ok,40,33,33,0,0,ok,40,40,40,0,0,ok,4.291,536
35.505,1782021541.6,7,"heading to waypoint #7 (3.6, -12.6)",ok,,1.918,-11.958,-34.2,-5.364,-14.123,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,3.968,539
36.004,1782021542.1,7,"heading to waypoint #7 (3.6, -12.6)",ok,,2.368,-12.377,-21.5,-5.117,-14.436,0,ok,0,ok,0,ok,35,35,35,0,0,ok,35,35,35,0,0,ok,3.667,538
