wall_elapsed_sec,ros_time_sec,current_waypoint,last_status,diagnosis,tf_error,issues,map_x,map_y,map_yaw_deg,odom_x,odom_y,static_value,static_status,global_value,global_status,local_value,local_status,local_plan_points,local_plan_inside,local_plan_free,local_plan_lethal,local_plan_unknown,local_plan_status,global_plan_points,global_plan_inside,global_plan_free,global_plan_lethal,global_plan_unknown,global_plan_status,scan_front_min_m,scan_valid_count,path_error_m,path_error_status,edge_from,edge_to,target_x,target_y,edge_start_x,edge_start_y
25.505,1782026765.089,9,"heading to waypoint #9 (0.6, 6.4)",pose_global_lethal_static_free,,"pose_global_lethal,pose_global_lethal_static_free",0.035,5.842,39.5,-0.048,5.824,0,ok,99,ok,0,ok,42,42,42,0,0,ok,42,42,35,0,0,ok,2.366,713,0.536,ok,8,9,0.605,6.38,-0.995,4.68
26.005,1782026765.589,9,"waypoint #9 safe_pose_cost_99; recover to safe pose (-0.56, 5.25)",ok,,,0.379,6.077,38.6,0.276,6.08,0,ok,55,ok,0,ok,8,8,8,0,0,ok,8,8,5,0,0,ok,2.216,560,0.004,ok,8,9,0.605,6.38,-0.995,4.68
26.504,1782026766.089,10,"heading to waypoint #10 (1.1, 6.9)",ok,,,0.544,6.225,46.1,0.468,6.247,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,2.711,715,0.019,ok,9,10,1.105,6.88,0.605,6.38
27.005,1782026766.589,10,"heading to waypoint #10 (1.1, 6.9)",ok,,,0.743,6.434,46.3,0.669,6.454,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,2.443,719,0.021,ok,9,10,1.105,6.88,0.605,6.38
27.505,1782026767.089,10,"heading to waypoint #10 (1.1, 6.9)",ok,,,0.945,6.729,49.2,0.957,6.75,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,14,0,0,ok,2.014,719,0.055,ok,9,10,1.105,6.88,0.605,6.38
28.005,1782026767.589,11,"heading to waypoint #11 (1.9, 8.6)",ok,,,0.993,6.856,47.2,1.101,6.88,0,ok,0,ok,0,ok,37,34,34,0,0,ok,37,37,32,0,0,ok,1.832,717,0.019,ok,10,11,1.905,8.58,1.105,6.88
28.505,1782026768.089,11,"heading to waypoint #11 (1.9, 8.6)",ok,,,1.181,7.117,48.1,1.391,7.136,0,ok,0,ok,0,ok,37,37,30,0,0,ok,37,37,32,0,0,ok,1.488,707,0.029,ok,10,11,1.905,8.58,1.105,6.88
29.005,1782026768.589,11,"heading to waypoint #11 (1.9, 8.6)",ok,,,1.369,7.433,50.5,1.708,7.415,0,ok,0,ok,0,ok,26,26,24,0,0,ok,26,26,20,0,0,ok,1.096,705,0.027,ok,10,11,1.905,8.58,1.105,6.88
29.505,1782026769.089,11,"heading to waypoint #11 (1.9, 8.6)",ok,,,1.449,7.743,53.6,2.038,7.705,0,ok,0,ok,0,ok,26,26,26,0,0,ok,26,26,20,0,0,ok,1.783,701,0.077,ok,10,11,1.905,8.58,1.105,6.88
30.005,1782026769.589,11,"heading to waypoint #11 (1.9, 8.6)",ok,,,1.544,8.086,53.0,2.356,7.974,0,ok,0,ok,0,ok,14,14,14,0,0,ok,14,14,4,0,0,ok,1.524,695,0.021,ok,10,11,1.905,8.58,1.105,6.88
30.504,1782026770.089,11,"heading to waypoint #11 (1.9, 8.6)",ok,,,1.645,8.35,54.1,2.661,8.212,0,ok,70,ok,0,ok,14,14,14,0,0,ok,14,14,4,0,0,ok,1.322,690,0.172,ok,10,11,1.905,8.58,1.105,6.88
