idx,wall_time,tf_stamp,gps_rel_x,gps_rel_y,estimate_x,estimate_y,direct_error_m,aligned_error_m,heading_error_deg,event
14,1782014579.3975396,27.48,1.1864948174691108,0.19044033077565814,1.193333678486003,0.20858342176254638,0.019389217894666924,2.310595963692886,,
15,1782014579.926716,27.96,1.181085947556653,0.19427926818504115,1.193336839526406,0.2085812051652026,0.01883161584779871,2.3055080216780572,,
16,1782014580.9419904,28.96,1.1914372258394863,0.21562415536024382,1.209073259169222,0.21269445303552983,0.017877718739229016,2.3041629139457047,,
17,1782014581.9520168,29.96,1.3821176550691163,0.23922305377558217,1.3964737674320011,0.22343004795797958,0.021342844115314237,2.324004294308286,,
18,1782014582.4764352,30.48,1.485093903281097,0.2388907399888467,1.4536550763411717,0.23032696213779302,0.032584323384731634,2.3761594004505144,,
19,1782014583.004708,30.96,1.587015201885066,0.23030200620671337,1.5507951348251463,0.22003329027540533,0.03764757342383416,2.3839716210378685,,
20,1782014583.506187,31.48,1.6895998808011825,0.213382814111152,1.6574065320531626,0.2006079318021972,0.034635376735633806,2.380668612349859,,
21,1782014584.006339,31.96,1.7892135275265204,0.18892937112627806,1.7524896357862818,0.1752095691352299,0.039203025281505176,2.3831865949461783,,
22,1782014584.518959,32.48,1.888099352395642,0.15644956825240985,1.8544245025257613,0.13997690129263646,0.037487921661871475,2.375417114889735,,
23,1782014585.0241659,32.96,1.9836083768639838,0.11823334800045959,1.9523253079501754,0.10809038969436126,0.03288631940283579,2.3704183915115435,,
24,1782014585.5370696,33.48,2.0741435590039643,0.07126889470301467,2.0480937465176066,0.06069026664210701,0.02811583365695249,2.3566289175661526,0.616602457028889,
25,1782014586.0560527,33.96,2.1604239345534992,0.016076763394351268,2.129390158000329,0.0061664782455001,0.03257773839424138,2.3492781972575223,,
26,1782014586.5581007,34.48,2.24377195413728,-0.04625627426187595,2.214984733268901,-0.06011650854430259,0.031950120182694025,2.330777442261561,0.12555796147351933,
27,1782014587.0800014,34.96,2.322733075975151,-0.11368243977240677,2.289735078178504,-0.12620113205259237,0.03529285359663484,2.3185651572946493,0.38288438888492304,
28,1782014587.5810046,35.48,2.3962676505911276,-0.1865608915253194,2.364719132146453,-0.20312774897015148,0.035633829174695285,2.2964312113841903,0.25484235998997595,
29,1782014588.1034026,35.96,2.4637946471079033,-0.2650137610565073,2.4581231086634983,-0.2593460112346721,0.00801808807442756,2.2658308093774004,2.6782523618067193,
30,1782014588.6083326,36.48,2.525270556777933,-0.34766456865389284,2.5204054848696824,-0.3462378299419951,0.005069961343489378,2.240124398343744,2.517367077554325,
31,1782014589.1158032,36.96,2.5802184198168447,-0.434960115185711,2.5715622798478357,-0.430558274166646,0.009711074272200736,2.2199840009189296,2.054580386050765,
32,1782014589.627737,37.48,2.6283519710723695,-0.527297688047474,2.620338492812243,-0.5270858902551246,0.008016276699962813,2.1894819479961147,1.6307472472427522,
33,1782014590.1415942,37.96,2.670401296012237,-0.6229726177974255,2.659525139087166,-0.6190569456301849,0.011559553537229242,2.164636950923719,1.8556336256174202,
34,1782014591.1498566,38.96,2.741920007062518,-0.8249107481650642,2.7293845412100186,-0.7811352501882075,0.04553495500449034,2.127701611179227,2.899829517321421,
35,1782014591.6619678,39.48,2.7733184134487203,-0.9280280595239061,2.7611315153312423,-0.8886588697038698,0.0412122990478794,2.0923400707064186,2.6657255972341294,
36,1782014592.1684005,39.96,2.8024502094550527,-1.0318436782495564,2.7882436210571235,-0.9883436736339848,0.045761092157671726,2.064093768125912,2.4768363553991484,
37,1782014592.6765456,40.48,2.8293258515224053,-1.1372112135483397,2.8155450958378085,-1.098045754309389,0.0415191814061458,2.0278425413090218,0.07800001061234571,
38,1782014593.2049987,40.96,2.8539097405804554,-1.2419156953594301,2.8382199543352806,-1.1985132802750085,0.04615126247005286,1.9993302859386561,0.05198018354328704,
39,1782014593.706317,41.48,2.8762659316896872,-1.3482751858710254,2.860823650823923,-1.3291729178500598,0.0245634012685937,1.9489101690343817,0.4433880016198328,
40,1782014594.2234387,41.96,2.8969338631502097,-1.4551135896264515,2.8801144218188406,-1.431824456903221,0.028727640169349367,1.919146597612793,0.4557343792482807,
41,1782014594.7399192,42.48,2.9160946773176164,-1.5623326193797098,2.8994186422150126,-1.5430026866929318,0.025529129331386194,1.8825986744702887,0.43011821745760714,
42,1782014595.2504182,42.98,2.9340373370398183,-1.6697264736926156,2.916800522729468,-1.6504056657020323,0.02589211055473241,1.8494981105743389,0.9658932461628458,
43,1782014595.759938,43.48,2.950515684113043,-1.7780540875922712,2.932903788362216,-1.758531958398623,0.02629243998170364,1.8162827330378746,0.9183565313317142,
44,1782014596.287622,43.96,2.966759959013892,-1.8868791527048048,2.9674350268139325,-1.8830119338234226,0.003925697187910755,1.7591704667644326,0.13343948528267532,
45,1782014597.2858531,44.96,2.997853495214059,-2.1021282434626514,2.9960052210542325,-2.0987236930411846,0.003873897384055611,1.6962689117535874,0.005642737520247986,
46,1782014597.799765,45.48,3.0100426224861536,-2.204771234713104,3.005731145897837,-2.2059252962653995,0.004463259844339107,1.6637905418587773,0.06705700043898022,
47,1782014598.3038285,45.96,3.011828738813925,-2.2903260224847806,3.0030043764326027,-2.2889074670291953,0.008937654670967625,1.6413121287549115,0.0433580679336747,
48,1782014598.8141773,46.48,3.0120379031585642,-2.298102509442809,3.0013666262452405,-2.302381552179457,0.011497232610628296,1.6354699619783384,0.10692426046757378,
49,1782014599.3300574,46.96,3.012037742224088,-2.2981014601278877,3.0013666262452405,-2.302381552179457,0.011497473818361793,1.6354693280603914,,
50,1782014600.3625388,47.96,2.9709144816061652,-2.4981228147750505,2.9777766712179576,-2.4830639693300993,0.016548669807664857,1.5656478676234435,1.3759684177890141,
51,1782014601.3724742,48.96,2.9007251845391977,-2.6912562781430283,2.9036046714492127,-2.6746470509254245,0.016856982933815177,1.4893335656990525,1.0126263554336128,
52,1782014601.8778522,49.48,2.852697665019079,-2.785405755380036,2.8526304257442385,-2.7714562535213974,0.013949663910799071,1.4460139234316252,0.4103186113300046,
53,1782014602.4002736,49.96,2.799923657951112,-2.8796821259639342,2.8014165041087886,-2.8614128046073093,0.018330212559654693,1.4046851743132815,,
54,1782014602.9114466,50.48,2.7457902434613004,-2.9706023331412026,2.753114442991984,-2.9547313016675254,0.01747951769368132,1.3561623215050977,,
55,1782014603.432407,50.96,2.686183419361491,-3.0631232255608887,2.6952235790088164,-3.042911600885146,0.022141234348658785,1.3135646650288098,0.3279237588194658,
56,1782014604.42838,51.96,2.5664257536685042,-3.246779705646745,2.5738810380628303,-3.2251584888849743,0.02287046741235875,1.225390617734636,0.022774249098968975,
57,1782014604.9294994,52.48,2.5059734345599907,-3.3386844437059207,2.510242107960027,-3.32009500766633,0.019073245787390475,1.1792315027036246,0.15632733006535637,
58,1782014605.4398348,52.96,2.4454238164103117,-3.430364552506361,2.45142904717983,-3.417413156031626,0.014275905128605533,1.1284220413784634,0.31831354012138846,
59,1782014605.946535,53.48,2.384771901113403,-3.521822224426512,2.387543879059812,-3.511808939225211,0.010389886537299768,1.0825361257105575,0.13479085912304398,
60,1782014606.460149,53.96,2.3238935292663427,-3.6125324299403276,2.328318096076744,-3.598093599675958,0.015101543327189212,1.040903205155892,0.12650288526550316,
61,1782014606.9816813,54.48,2.262277108411773,-3.703214131629326,2.263356884863479,-3.69175218092965,0.011512698685688884,0.995108948057359,0.13321069155938836,
